Horizon,Events ahead,Mean daily pnl,Std daily pnl,Sharpe-like,t-stat,p-value
k=1,10,0.02406963628099265,0.33329862549104294,0.07221642827218769,1.204088484474868,0.22957957463686135
k=2,20,0.015700421376798782,0.6164962868096383,0.025467179142389156,0.4246227329581053,0.6714401555580731
k=3,30,-0.03279270237180788,1.2801793599497981,-0.025615709327710016,-0.42709922605006084,0.6696376505930326
k=4,50,-0.05348742504140206,1.951476315009717,-0.027408698035433617,-0.45699432204714313,0.6480320154068483
k=5,100,-0.07308180542834176,3.902706295620023,-0.01872593013477876,-0.31222365015595316,0.7551046154121623
