Horizon,Profile,Accuracy,Cohen κ,MCC,F1-Down,F1-Stat,F1-Up,F1-Weighted,Best Epoch,Best Val Loss,Monitor
k=1 (10 ev),paper,0.8347,0.5907,0.6080,0.6260,0.9019,0.6302,0.8216,65,0.6133,val_acc
k=2 (20 ev),paper,0.7506,0.4879,0.5060,0.5517,0.8426,0.5487,0.7317,28,0.7800,val_acc
k=3 (30 ev),paper,0.7726,0.5980,0.6023,0.6703,0.8473,0.6550,0.7665,19,0.7502,val_acc
k=4 (50 ev),paper,0.7880,0.6656,0.6658,0.7424,0.8463,0.7250,0.7872,10,0.7419,val_acc
k=5 (100 ev),paper,0.7887,0.6832,0.6839,0.7757,0.8260,0.7639,0.7893,4,0.7060,val_acc
